--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
ADLUDIO, ADLUDIARE, ADLUDIAVI, ADLUDIATUS: V      1 1         \play/frolic (with);
ADLUVIUS, ADLUVIA, ADLUVIUM: ADJ    1 1 POS     \alluvial, from river overflow/deposit;
ADLUVIES, ADLUVIEI: N      5 1 F       \silt, soil deposited by a river; flood land by a river; lapping of waves;
ADLUVIES, ADLUVIEI: N      5 1 F       \|inundation, flood; overflow; superabundance; river deposited silt; floodland;
ADLUVIO, ADLUVIONIS: N      3 1 F       \inundation, flood; overflow; land addition by silt deposition; superabundance;
ADMATURO, ADMATURARE, ADMATURAVI, ADMATURATUS: V      1 1         \hasten (an occurrence); bring to maturity, mature, ripen;
ADMEO, ADMEARE, ADMEAVI, ADMEATUS: V      1 1         \go to, approach;
ADMETIOR, ADMETIRI, -, ADMENSUS SUM: V      3 4         \measure out (to);
ADMIGRO, ADMIGRARE, ADMIGRAVI, ADMIGRATUS: V      1 1         \go and live with; go to a place; come to; be added to;
ADMINICULUM, ADMINICULI: N      2 2 N       \prop (vines), pole, stake; support, stay, bulwark; means, aid, tool; auxiliary;
ADMINICULO, ADMINICULARE, ADMINICULAVI, ADMINICULATUS: V      1 1         \prop (up), support (with props); support with authority; applied to adverb;
ADMINICULOR, ADMINICULARI, -, ADMINICULATUS SUM: V      1 1         \prop (up), support (with props) (vines);
ADMINICULABUNDUS, ADMINICULABUNDA, ADMINICULABUNDUM: ADJ    1 1 POS     \self-supporting, supporting one's self;
ADMINICULATUS, ADMINICULATA -UM, ADMINICULATIOR -OR -US, ADMINICULATISSIMUS -A -U: ADJ    1 1 X       \well stocked; supported; well furnished/provided;
ADMINICULATOR, ADMINICULATORIS: N      3 1 M       \assistant, supporter; one who supports;
ADMINISTER, ADMINISTRI: N      2 3 M       \assistant, helper, supporter; one at hand to help, attendant; priest, minister;
ADMINISTRA, ADMINISTRAE: N      1 1 F       \assistant (female), helper, supporter, servant; handmaiden, attendant;
ADMINISTRO, ADMINISTRARE, ADMINISTRAVI, ADMINISTRATUS: V      1 1         \administer, manage, direct; assist; operate, conduct; maneuver (ship); bestow;
ADMINISTRATIO, ADMINISTRATIONIS: N      3 1 F       \administration; assistance; execution, operation, management, care of affairs;
ADMINISTRATIVUS, ADMINISTRATIVA, ADMINISTRATIVUM: ADJ    1 1 POS     \practical; suitable for the administration of;
ADMINISTRATOR, ADMINISTRATORIS: N      3 1 M       \director, manager; one who is in charge of an operation;
ADMINISTRATORIUS, ADMINISTRATORIA, ADMINISTRATORIUM: ADJ    1 1 POS     \performing the duties of an assistant/helper; serving, ministering;
ADMIROR, ADMIRARI, -, ADMIRATUS SUM: V      1 1         \admire, respect; regard with wonder, wonder at; be surprised at, be astonished;
ADMIRABILIS, ADMIRABILIS, ADMIRABILE: ADJ    3 2 POS     \admirable, wonderful; strange, astonishing, remarkable; paradoxical, contrary;
ADMIRABILITAS, ADMIRABILITATIS: N      3 1 F       \wonderful character, remarkableness; admiration, wonder;
ADMIRABILITER: ADV    POS         \admirably, astonishingly, in a wonderful/wondrous manner; paradoxically;
ADMIRANDUS, ADMIRANDA, ADMIRANDUM: ADJ    1 1 POS     \wonderful, admirable; astonishing, remarkable, extraordinary;
ADMIRANTER: ADV    POS         \admiringly, with admiration;
ADMIRATIO, ADMIRATIONIS: N      3 1 F       \wonder, surprise, astonishment; admiration, veneration, regard; marvel;
ADMIRATOR, ADMIRATORIS: N      3 1 M       \admirer; one who venerates;
ADMISCEO, ADMISCERE, ADMISCUI, ADMISTUS: V      2 1         \mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;
ADMISCEO, ADMISCERE, ADMISCUI, ADMIXTUS: V      2 1         \mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;
ADMISSUM, ADMISSI: N      2 2 N       \crime, offense;
ADMISSUS, ADMISSUS: N      4 1 M       \admission, letting in;
ADMISSARIUS, ADMISSARIA, ADMISSARIUM: ADJ    1 1 POS     \kept for breeding (male animals), on stud;
ADMISSARIUS, ADMISSARII: N      2 1 M       \stallion/he-ass, stud; sodomite;
ADMISSIO, ADMISSIONIS: N      3 1 F       \getting in, audience, interview; application (medical); mating (animals);
ADMISSIONALIS, ADMISSIONALIS: N      3 3 M       \one who introduces/announces at audience; privy chamber usher; seneschal;
ADMISSIVUS, ADMISSIVA, ADMISSIVUM: ADJ    1 1 POS     \permitting/favorable (birds of omen approving of action in question);
ADMISSOR, ADMISSORIS: N      3 1 M       \perpetrator; one who allows himself to do a thing;
ADMISSURA, ADMISSURAE: N      1 1 F       \breeding, generation; copulation/mating of domestic animals, service;
ADMISTUS, ADMISTUS: N      4 1 M       \mixture, admixture, mingling;
ADMISTIO, ADMISTIONIS: N      3 1 F       \mixture, admixture, mingling;
ADMITTO, ADMITTERE, ADMISI, ADMISSUS: V      3 1         \urge on, put to a gallop; let in, admit, receive; grant, permit, let go;
ADMIXTUS, ADMIXTA, ADMIXTUM: ADJ    1 1 POS     \mixed; contaminated; not simple; confused;
ADMIXTUS, ADMIXTUS: N      4 1 M       \mixture, admixture, mingling;
ADMIXTIO, ADMIXTIONIS: N      3 1 F       \mixture, admixture, mingling;
ADMODEROR, ADMODERARI, -, -: V      1 1         \control (w/DAT); keep within limits; moderate;
ADMODERATE: ADV    POS         \comfortably; suitably;
ADMODULOR, ADMODULARI, -, ADMODULATUS SUM: V      1 1         \harmonize/accord with;
ADMODUM: ADV    POS         \very, exceedingly, greatly, quite; excessively; just so; certainly, completely;
ADMOENIO, ADMOENIRE, ADMOENIVI, ADMOENITUS: V      3 4         \bring (siege engine) into operation, draw near the walls; besiege, invest;
ADMOLIOR, ADMOLIRI, -, ADMOLITUS SUM: V      3 4         \struggle, exert oneself (to); put one's hand on object/task; lay violent hands;
ADMONEO, ADMONERE, ADMONUI, ADMONITUS: V      2 1         \admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;
ADMONEFACIO, ADMONEFACERE, ADMONEFECI, ADMONEFACTUS: V      3 1         \admonish;
ADMONITUM, ADMONITI: N      2 2 N       \warning; reminder; reminding; advice; admonition;
ADMONITUS, ADMONITUS: N      4 1 M       \advice, recommendation; admonition, warning; command (animal); reminder; reproof
ADMONITIO, ADMONITIONIS: N      3 1 F       \act of reminding; reminder, recurring symptom; warning, advice; rebuke;
ADMONITOR, ADMONITORIS: N      3 1 M       \admonisher; exhorter; one who reminds;
ADMONITORIUM, ADMONITORII: N      2 2 N       \admonition;
ADMONITRIX, ADMONITRICIS: N      3 1 F       \monitor (female); she that admonishers/reminds;
ADMORDEO, ADMORDERE, ADMORDI, ADMORSUS: V      2 1         \bite at/into, gnaw; extract money from; fleece; get possession of their property
ADMORSUS, ADMORSA, ADMORSUM: ADJ    1 1 POS     \bitten, gnawed;
ADMORSUS, ADMORSUS: N      4 1 M       \bite, biting, gnawing;
ADMOTIO, ADMOTIONIS: N      3 1 F       \act of moving towards/on to; application;
ADMOVEO, ADMOVERE, ADMOVI, ADMOTUS: V      2 1         \move up, bring up/near; lean on, conduct; draw near, approach; apply, add;
ADMUGIO, ADMUGIRE, -, -: V      3 4         \low (to); bellow (to); (like a bull);
ADMULCO, ADMULCARE, -, -: V      1 1         \stroke;
ADMURMURO, ADMURMURARE, ADMURMURAVI, ADMURMURATUS: V      1 1         \murmur in protest or approval; murmur at;
ADMURMUROR, ADMURMURARI, -, ADMURMURATUS SUM: V      1 1         \murmur in protest or approval; murmur at;
ADMURMURATIO, ADMURMURATIONIS: N      3 1 F       \murmur of comment; murmuring;
ADMUTILO, ADMUTILARE, ADMUTILAVI, ADMUTILATUS: V      1 1         \cut/clip close; shave; fleece, cheat, defraud;
ADNO, ADNARE, ADNAVI, ADNATUS: V      1 1         \swim to/towards, approach by swimming; sail to/towards; brought by sea (goods);
ADNARRO, ADNARRARE, ADNARRAVI, ADNARRATUS: V      1 1         \tell/relate (to);
ADNATO, ADNATARE, ADNATAVI, ADNATATUS: V      1 1         \swim to/up to; swim beside/alongside;
ADNAVIGO, ADNAVIGARE, ADNAVIGAVI, ADNAVIGATUS: V      1 1         \sail to/up to/towards; sail beside/alongside;
ADNECTO, ADNECTERE, ADNEXUI, ADNEXUS: V      3 1         \tie on/to, tie up (ship); bind to; fasten on; attach, connect, join, annex;
ADNEGO, ADNEGARE, ADNEGAVI, ADNEGATUS: V      1 1         \refuse; withhold;
ADNEPOS, ADNEPOTIS: N      3 1 M       \great-great-great-grandson;
ADNEPTIS, ADNEPTIS: N      3 3 F       \great-great-great-granddaughter;
ADNEXUS, ADNEXA, ADNEXUM: ADJ    1 1 POS     \attached, linked, joined; contiguous (to); related by blood; concerned;
ADNEXUS, ADNEXUS: N      4 1 M       \tying/binding/fastening/attaching (to), connecting; connection: annexation;
ADNEXIO, ADNEXIONIS: N      3 1 F       \tying/binding to, connecting; annexation;
ADNIUS, ADNIUS: N      4 1 M       \striving; exertion;
ADNICTO, ADNICTARE, ADNICTAVI, ADNICTATUS: V      1 1         \wink to/at; blink at;
ADNIHILO, ADNIHILARE, ADNIHILAVI, ADNIHILATUS: V      1 1         \annihilate, destroy, demolish, ruin, bring to nothing;
ADNILILO, ADNILILARE, ADNILILAVI, ADNILILATUS: V      1 1         \annihilate, bring to nothing;
ADNITOR, ADNITI, -, ADNISUS SUM: V      3 1         \lean/rest upon, support oneself, (w/genibus) kneel; strive, work, exert, try;
ADNITOR, ADNITI, -, ADNIXUS SUM: V      3 1         \lean/rest upon, support oneself, (w/genibus) kneel; strive, work, exert, try;
ADNIXUS, ADNIXA, ADNIXUM: ADJ    1 1 POS     \vehement, strenuous;
ADNODO, ADNODARE, ADNODAVI, ADNODATUS: V      1 1         \cut (a shoot) right back, cut flush; cut off knots, cut away suckers;
ADNOMENTUM, ADNOMENTI: N      2 2 N       \nickname, an additional name denoting an achievement/characteristic;
ADNOMINATIO, ADNOMINATIONIS: N      3 1 F       \punning/pun; linking two words of different meaning but like sound, paronomasia;
ADNOTO, ADNOTARE, ADNOTAVI, ADNOTATUS: V      1 1         \note/jot down, notice, become aware; mark, annotate; record, state; designate;
ADNOTAMENTUM, ADNOTAMENTI: N      2 2 N       \note, comment, remark, annotation;
ADNOTATUS, ADNOTATI: N      2 1 M       \person officially announced as "wanted", wanted man;
ADNOTATUS, ADNOTATUS: N      4 1 M       \notice, noting, remark, mention;
ADNOTATIO, ADNOTATIONIS: N      3 1 F       \note or comment; writing/making notes; notice; rescript of emperor by his hand;
ADNOTATIUNCULA, ADNOTATIUNCULAE: N      1 1 F       \short note/comment; brief annotation;
ADNOTATOR, ADNOTATORIS: N      3 1 M       \one who makes notes, note taker; observer; controller of the annual income (jur)
ADNUO, ADNUERE, ADNUI, ADNUTUS: V      3 1         \designate by a nod; indicate, declare; nod assent; smile on; agree to, grant;
ADNUBILO, ADNUBILARE, ADNUBILAVI, ADNUBILATUS: V      1 1         \bring up clouds (against);
ADNULLO, ADNULLARE, ADNULLAVI, ADNULLATUS: V      1 1         \annihilate, obliterate, destroy; annul (eccl.);
ADNUMERO, ADNUMERARE, ADNUMERAVI, ADNUMERATUS: V      1 1         \count (in/out), pay; reckon (time); enumerate, run through; classify as; add;
ADNUMERATIO, ADNUMERATIONIS: N      3 1 F       \numbering, counting, enumeration;
ADNUNTIUS, ADNUNTIA, ADNUNTIUM: ADJ    1 1 POS     \announcer, that brings news/announces/makes known;
ADNUNTIUS, ADNUNTIA, ADNUNTIUM: ADJ    1 1 POS     \announcer, that brings news/announces/makes known;
ADNUNTIO, ADNUNTIARE, ADNUNTIAVI, ADNUNTIATUS: V      1 1         \announce, say, make known; report, bring news; prophesy/announce before; preach;
ADNUNTIO, ADNUNTIARE, ADNUNTIAVI, ADNUNTIATUS: V      1 1         \announce, say, make known; report, bring news; prophesy/announce before; preach;
ADNUNTIALIS, ADNUNTIALIS, ADNUNTIALE: ADJ    3 2 POS     \proclamatory;
ADNUNTIALIS, ADNUNTIALIS, ADNUNTIALE: ADJ    3 2 POS     \proclamatory;
ADNUNTIATIO, ADNUNTIATIONIS: N      3 1 F       \annunciation/announcement, declaration; message; prediction/prophecy; preaching;
ADNUNTIATIO, ADNUNTIATIONIS: N      3 1 F       \annunciation/announcement, declaration; message; prediction/prophecy; preaching;
ADNUNTIATOR, ADNUNTIATORIS: N      3 1 M       \announcer, herald, one who announces; prophet (Souter); preacher;
ADNUNTIATOR, ADNUNTIATORIS: N      3 1 M       \announcer, herald, one who announces; prophet (Souter); preacher;
ADNUNTIATRIX, ADNUNTIATRICIS: N      3 1 C       \announcer, preacher, one who announces; prophetess (F) (Souter);
ADNUNTIATRIX, ADNUNTIATRICIS: N      3 1 C       \announcer, preacher, one who announces; prophetess (F) (Souter);
ADNUTO, ADNUTARE, ADNUTAVI, ADNUTATUS: V      1 1         \nod (to); order/assent to by a nod; bow to;
ADNUTRIO, ADNUTRIRE, -, -: V      3 4         \train (on);
ADOBRUO, ADOBRUERE, ADOBRUI, ADOBRUTUS: V      3 1         \cover over with earth, bury;
ADOLEO, ADOLERE, ADOLUI, ADOLULTUS: V      2 1         \worship, make/burn sacrifice/offerings; cremate; destroy/treat by fire/heat;
ADOLOR, ADOLARI, -, ADOLATUS SUM: V      1 1         \fawn upon (as a dog); flatter (in a servile manner), court; make obeisance (to;
ADOLEO, ADOLERE, -, -: V      2 1         \emit/give out a smell/odor;
ADOLEFACTUS, ADOLEFACTA, ADOLEFACTUM: ADJ    1 1 POS     \set on fire, kindled;
ADOLESCO, ADOLESCERE, ADOLEVI, ADULTUS: V      3 1         \grow up, mature, reach manhood/peak; become established/strong; grow, increase;
ADOLESCO, ADOLESCERE, ADOLUI, ADULTUS: V      3 1         \grow up, mature, reach manhood/peak; become established/strong; grow, increase;
ADOLESCO, ADOLESCERE, -, -: V      3 1         \burn, blaze up, flame, be kindled; (of a sacrifice);
ADOLESCENS, ADOLESCENTIS: N      3 3 C       \young man, youth; youthful person; young woman/girl;
ADOLESCENS, ADOLESCENTIS (GEN.), ADOLESCENTIOR -OR -US, ADOLESCENTISSIMUS -A -UM: ADJ    3 1 X       \young, youthful; "minor" (in reference to the younger of two having same name);
ADOLESCENTIA, ADOLESCENTIAE: N      1 1 F       \youth, young manhood; characteristic of being young, youthfulness; the young;
ADOLESCENTIOR, ADOLESCENTIARI, -, ADOLESCENTIATUS SUM: V      1 1         \behave in a youthful manner;
ADOLESCENTULUS, ADOLESCENTULA, ADOLESCENTULUM: ADJ    1 1 POS     \very youthful, quite young;
ADOLESCENTULA, ADOLESCENTULAE: N      1 1 F       \young woman; very young woman; 'my child';
ADOLESCENTULUS, ADOLESCENTULI: N      2 1 M       \young man; mere youth;
ADOLESCENTURIO, ADOLESCENTURIRE, -, -: V      3 4         \want to behave in a youthful manner;
ADOMINATIO, ADOMINATIONIS: N      3 1 F       \good/favorable omen;
ADONIUM, ADONII: N      2 2 N       \species of southernwood (flower of golden color or blood-red);
ADOPERIO, ADOPERIRE, ADOPERUI, ADOPERTUS: V      3 4         \cover, cover over;
ADOPERTUS, ADOPERTA, ADOPERTUM: ADJ    1 1 POS     \covered, overspread; clothed; veiled, disguised, hiding; shut, closed;
ADOPERTUM, ADOPERTI: N      2 2 N       \religious secrets (pl.), mysteries;
ADOPERTE: ADV    POS         \covertly, in a dark/mysterious manner;
ADOPINOR, ADOPINARI, -, ADOPINATUS SUM: V      1 1         \conjecture/surmise/opine/think/suppose (further);
ADOPTO, ADOPTARE, ADOPTAVI, ADOPTATUS: V      1 1         \adopt, select, secure, pick out; wish/name for oneself; adopt legally;
ADOPTATA, ADOPTATAE: N      1 1 F       \adopted daughter;
ADOPTATUS, ADOPTATI: N      2 1 M       \adopted son;
ADOPTATICIUS, ADOPTATICIA, ADOPTATICIUM: ADJ    1 1 POS     \adopted (into a family); (as a son/daughter);
ADOPTATICIA, ADOPTATICIAE: N      1 1 F       \adopted daughter;
ADOPTATICIUS, ADOPTATICII: N      2 1 M       \adopted son;
ADOPTATIO, ADOPTATIONIS: N      3 1 F       \adoption of a child; adoption into a family (Roman custom);
ADOPTATOR, ADOPTATORIS: N      3 1 M       \one who adopts a child;
ADOPTIO, ADOPTIONIS: N      3 1 F       \adoption of a child; adoption into a family; grafting (plant);
ADOPTIVUS, ADOPTIVA, ADOPTIVUM: ADJ    1 1 POS     \adoptive, obtained by adoption; formed by grafting;
ADOR, ADORIS: N      3 2 N       \coarse grain; emmer wheat; spelt;
ADORO, ADORARE, ADORAVI, ADORATUS: V      1 1         \honor, worship, pay homage, reverence, adore; beg, plead with, appeal to;
ADORABILIS, ADORABILIS, ADORABILE: ADJ    3 2 POS     \worthy of adoration/veneration;
ADORATIO, ADORATIONIS: N      3 1 F       \act of worship or prayer;
ADORATOR, ADORATORIS: N      3 1 M       \worshipper, adorer, one who worships/prays/reverences;
ADORDINO, ADORDINARE, ADORDINAVI, ADORDINATUS: V      1 1         \set in order, arrange;
ADOREUS, ADOREA, ADOREUM: ADJ    1 1 POS     \pertaining to/consisting of emmer wheat/spelt;
ADOREA, ADOREAE: N      1 1 F       \prize of value; (anciently, a gift of grain);
ADOREUM, ADOREI: N      2 2 N       \emmer wheat, spelt;
ADORIO, ADORIRE, -, ADORITUS: V      3 4         \assail/assault/attack, rise against (military/political/plague); accost/address;
ADORIO, ADORIRE, -, ADORITUS: V      3 4         \|improperly influence; undertake/try/attempt/come to grips; begin/set to work;
ADORIOR, ADORIRI, -, ADORTUS SUM: V      3 4         \assail/assault/attack, rise against (military/political/plague); accost/address;
ADORIOR, ADORIRI, -, ADORTUS SUM: V      3 4         \|improperly influence; undertake/try/attempt/come to grips; begin/set to work;
ADORIA, ADORIAE: N      1 1 F       \glory, distinction;
ADORIUM, ADORII: N      2 2 N       \emmer wheat, spelt;
ADORIOSUS, ADORIOSA, ADORIOSUM: ADJ    1 1 POS     \celebrated, that has often obtained the adorea - prize;
ADORNO, ADORNARE, ADORNAVI, ADORNATUS: V      1 1         \equip, get ready, prepare; set off; adorn, array, embellish; honor, endow;
ADORNATE: ADV    POS         \elegantly, in a polished manner;
ADOSCULOR, ADOSCULARI, -, ADOSCULATUS SUM: V      1 1         \give a kiss to;
ADPAGINECULUS, ADPAGINECULI: N      2 1 M       \kind of decorative attachment (archit.);
ADPALIS, ADPALIS, ADPALE: ADJ    3 2 POS     \greasy, fatty; of/with fat/grease;
ADPANGO, ADPANGERE, ADPEGI, ADPACTUS: V      3 1         \fasten to;
ADPARO, ADPARARE, ADPARAVI, ADPARATUS: V      1 1         \prepare, fit out, make ready, equip, provide; attempt; organize (a project);
ADPAREO, ADPARERE, ADPARUI, ADPARITUS: V      2 1         \appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);
ADPARET, ADPARERE, ADPARIT: V      2 1         \it is apparent/evident/clear/certain/visible/noticeable/found; it appears;
